year;stars;forks;language
2015;0;0;Jupyter Notebook
2016;0;0;Jupyter Notebook
2017;102;54;Jupyter Notebook
2018;51;7;Jupyter Notebook
2019;47;91;Jupyter Notebook
2020;280;169;Jupyter Notebook
2021;131;241;Jupyter Notebook
2022;360;272;Jupyter Notebook
2023;2416;344;Jupyter Notebook
2024;369;236;Jupyter Notebook
2025;0;0;Jupyter Notebook
2012;0;0;Kotlin
2013;0;0;Kotlin
2014;0;0;Kotlin
2015;0;0;Kotlin
2016;0;0;Kotlin
2017;0;0;Kotlin
2018;0;0;Kotlin
2019;50;9;Kotlin
2020;188;29;Kotlin
2021;475;28;Kotlin
2022;974;98;Kotlin
2023;0;0;Kotlin
2024;696;193;Kotlin
2025;0;0;Kotlin
2012;0;0;Lean
2013;0;0;Lean
2014;0;0;Lean
2015;0;0;Lean
2016;0;0;Lean
2017;0;0;Lean
2018;0;0;Lean
2019;0;0;Lean
2020;0;0;Lean
2021;0;0;Lean
2022;0;0;Lean
2023;0;0;Lean
2024;681;56;Lean
2025;0;0;Lean
2012;0;0;Lua
2013;0;0;Lua
2014;0;0;Lua
2015;0;0;Lua
2016;0;0;Lua
2017;0;0;Lua
2018;0;0;Lua
2019;0;0;Lua
2020;0;0;Lua
2021;0;0;Lua
2022;0;0;Lua
2023;0;0;Lua
2024;0;0;Lua
2025;3606;401;Lua
2012;0;0;Matlab
2013;0;0;Matlab
2014;0;0;Matlab
2015;0;0;Matlab
2016;23;7;Matlab
2017;0;0;Matlab
2018;0;0;Matlab
2019;0;0;Matlab
2020;0;0;Matlab
2021;0;0;Matlab
2022;0;0;Matlab
2023;0;0;Matlab
2024;0;0;Matlab
2025;0;0;Matlab
2012;0;0;OCaml
2013;0;0;OCaml
2014;0;0;OCaml
2015;0;0;OCaml
2016;0;0;OCaml
2017;22;3;OCaml
2018;0;0;OCaml
2019;0;0;OCaml
2020;0;0;OCaml
2021;0;0;OCaml
2022;0;0;OCaml
2023;1107;154;OCaml
2024;0;0;OCaml
2025;0;0;OCaml
2012;0;0;Objective-C
2013;0;0;Objective-C
2014;0;0;Objective-C
2015;0;0;Objective-C
2016;0;0;Objective-C
2017;30;3;Objective-C
